,0,1
0,chapter,56
1,i,2931
2,emma,824
3,woodhouse,304
4,handsome,34
5,clever,26
6,and,4542
7,rich,14
8,with,1204
9,a,3061
10,comfortable,34
11,home,127
12,happy,121
13,disposition,24
14,seemed,140
15,to,5143
16,unite,3
17,some,260
18,of,4265
19,the,5123
20,best,82
21,blessings,6
22,existence,5
23,had,1614
24,lived,25
25,nearly,13
26,twenty-one,1
27,years,55
28,in,2142
29,world,79
30,very,1185
31,little,360
32,distress,19
33,or,472
34,vex,1
35,her,2413
36,she,2241
37,was,2375
38,youngest,4
39,two,173
40,daughters,6
41,most,246
42,affectionate,9
43,indulgent,1
44,father,194
45,consequence,25
46,sister,32
47,’,1114
48,s,921
49,marriage,33
50,been,754
51,mistress,11
52,his,1131
53,house,88
54,from,540
55,early,41
56,period,18
57,mother,66
58,died,4
59,too,245
60,long,142
61,ago,28
62,for,1300
63,have,1317
64,more,462
65,than,415
66,an,460
67,indistinct,1
68,remembrance,8
69,caresses,1
70,place,88
71,supplied,5
72,by,567
73,excellent,33
74,woman,126
75,as,1430
76,governess,8
77,who,287
78,fallen,7
79,short,67
80,affection,48
81,sixteen,9
82,miss,583
83,taylor,45
84,mr,1118
85,family,75
86,less,66
87,friend,167
88,fond,39
89,both,82
90,but,1207
91,particularly,46
92,between,73
93,them,425
94,it,2382
95,intimacy,21
96,sisters,12
97,even,129
98,before,237
99,ceased,6
100,hold,13
101,nominal,1
102,office,7
103,mildness,1
104,temper,34
105,hardly,70
106,allowed,40
107,impose,1
108,any,653
109,restraint,3
110,shadow,1
111,authority,6
112,being,358
113,now,301
114,passed,53
115,away,133
116,they,520
117,living,18
118,together,76
119,mutually,3
120,attached,24
121,doing,43
122,just,159
123,what,495
124,liked,15
125,highly,24
126,esteeming,1
127,judgment,28
128,directed,6
129,chiefly,7
130,own,300
131,real,42
132,evils,10
133,indeed,184
134,situation,62
135,were,596
136,power,40
137,having,147
138,rather,142
139,much,473
140,way,148
141,think,383
142,well,351
143,herself,265
144,these,64
145,disadvantages,1
146,which,535
147,threatened,4
148,alloy,3
149,many,136
150,enjoyments,3
151,danger,30
152,however,124
153,at,1018
154,present,85
155,so,932
156,unperceived,2
157,that,1768
158,did,337
159,not,2258
160,means,46
161,rank,9
162,misfortunes,1
163,sorrow,3
164,came—a,1
