,0,1
0,chapter,24
1,i,3320
2,there,245
3,was,1370
4,no,348
5,possibility,2
6,of,2343
7,taking,24
8,a,2304
9,walk,26
10,that,810
11,day,116
12,we,159
13,had,808
14,been,224
15,wandering,8
16,indeed,52
17,in,1477
18,the,4348
19,leafless,3
20,shrubbery,3
21,an,303
22,hour,53
23,morning,66
24,but,580
25,since,38
26,dinner,28
27,mrs,201
28,reed,122
29,when,292
30,company,19
31,dined,3
32,early,16
33,cold,41
34,winter,16
35,wind,20
36,brought,42
37,with,740
38,it,1147
39,clouds,8
40,so,311
41,sombre,4
42,and,3528
43,rain,10
44,penetrating,3
45,further,21
46,outdoor,3
47,exercise,10
48,now,336
49,out,218
50,question,22
51,glad,26
52,never,134
53,liked,31
54,long,123
55,walks,4
56,especially,13
57,on,631
58,chilly,4
59,afternoons,3
60,dreadful,3
61,to,2638
62,me,902
63,coming,28
64,home,25
65,raw,6
66,twilight,8
67,nipped,3
68,fingers,14
69,toes,3
70,heart,62
71,saddened,2
72,by,355
73,chidings,1
74,bessie,129
75,nurse,26
76,humbled,2
77,consciousness,4
78,my,1017
79,physical,2
80,inferiority,3
81,eliza,24
82,john,47
83,georgiana,38
84,said,285
85,were,361
86,clustered,3
87,round,67
88,their,198
89,mama,32
90,drawing-room,24
91,she,1012
92,lay,32
93,reclined,2
94,sofa,12
95,fireside,7
96,her,1177
97,darlings,2
98,about,122
99,for,609
100,time,118
101,neither,23
102,quarrelling,2
103,nor,58
104,crying,4
105,looked,120
106,perfectly,2
107,happy,24
108,dispensed,1
109,from,362
110,joining,1
111,group,9
112,saying,16
113,“,1841
114,regretted,4
115,be,482
116,under,72
117,necessity,5
118,keeping,3
119,at,571
120,distance,16
121,until,3
122,heard,106
123,could,225
124,discover,3
125,own,109
126,observation,4
127,endeavouring,2
128,good,98
129,earnest,5
130,acquire,1
131,more,166
132,sociable,1
133,childlike,1
134,disposition,8
135,attractive,4
136,sprightly,2
137,manner—something,1
138,lighter,1
139,franker,1
140,natural,15
141,as,762
142,were—she,1
143,really,19
144,must,139
145,exclude,4
146,privileges,2
147,intended,10
148,only,135
149,contented,3
150,little,207
151,children,37
152,”,1828
153,what,310
154,does,34
155,say,106
156,have,509
157,done,40
158,asked,75
159,jane,105
160,don,92
161,’,644
162,t,109
163,like,185
164,cavillers,1
165,or,332
166,questioners,1
167,besides,35
168,is,619
169,something,77
170,truly,7
171,forbidding,2
172,child,63
173,up,222
174,elders,2
175,manner,22
176,seated,16
177,somewhere,4
178,you,1286
179,can,165
180,speak,38
181,pleasantly,1
182,remain,8
183,silent,24
184,breakfast-room,8
185,adjoined,1
186,slipped,9
187,contained,5
188,bookcase,2
189,soon,65
190,possessed,8
191,myself,85
192,volume,6
193,care,32
194,should,145
195,one,314
196,stored,2
197,pictures,11
198,mounted,5
199,into,159
200,window-seat,8
201,gathering,8
202,feet,26
203,sat,68
204,cross-legged,1
205,turk,1
206,having,61
207,drawn,16
208,red,15
209,moreen,1
210,curtain,24
211,nearly,17
212,close,26
213,shrined,1
214,double,8
215,retirement,3
216,folds,4
217,scarlet,2
218,drapery,5
219,shut,19
220,view,10
221,right,41
222,hand,81
223,left,63
224,clear,21
225,panes,9
226,glass,19
227,protecting,1
228,not,802
229,separating,2
230,drear,2
231,november,4
232,intervals,11
233,while,76
234,turning,12
235,over,129
236,leaves,8
237,book,26
238,studied,4
239,aspect,8
240,afternoon,28
241,afar,2
242,offered,20
243,pale,28
244,blank,5
245,mist,4
246,cloud,11
247,near,67
248,scene,20
249,wet,12
250,lawn,9
251,storm-beat,1
252,shrub,1
253,ceaseless,5
254,sweeping,3
255,away,80
256,wildly,4
257,before,158
258,lamentable,1
259,blast,1
260,returned,43
261,book—bewick,1
262,s,312
263,history,7
264,british,4
265,birds,12
266,letterpress,1
267,thereof,1
268,cared,1
269,generally,17
270,speaking,22
271,yet,107
272,certain,21
273,introductory,2
274,pages,4
275,pass,21
276,quite,75
277,they,269
278,those,48
279,which,326
280,treat,6
281,haunts,1
282,sea-fowl,1
283,solitary,11
284,rocks,5
285,promontories,1
286,them,218
287,inhabited,3
288,coast,2
289,norway,1
290,studded,1
291,isles,2
292,its,170
293,southern,2
294,extremity,2
295,lindeness,1
296,naze,1
297,north,3
298,cape—,1
299,where,97
300,northern,2
301,ocean,1
302,vast,6
303,whirls,2
304,boils,1
305,naked,1
306,melancholy,4
307,farthest,1
308,thule,1
309,atlantic,1
310,surge,1
311,pours,1
312,among,9
313,stormy,1
314,hebrides,1
315,unnoticed,4
316,suggestion,5
317,bleak,1
318,shores,2
319,lapland,1
320,siberia,1
